file_name,file_size,compressed_size,time_taken_ns
0052503c-2849-4f41-ab51-db382103690c.wav,197422,197610,126546144.000000000
006c6dd6-d91e-419c-9836-c3f320da4f25.wav,197486,197674,121212005.000000000
00d4f842-fc92-45f5-8cae-3effdc2245f5.wav,197418,197606,118186950.000000000
00dc461c-a60a-4d74-bf87-de4208f224ee.wav,197506,197694,79369068.000000000
0161dc01-ec36-4fe7-bbbc-1801586d28f7.wav,198096,198284,123816968.000000000
01671c57-4584-40cd-998d-c49b211e386c.wav,197498,197686,131965161.000000000
01f5f49e-287d-4734-be3a-863c10c0cf2e.wav,197422,197610,107270956.000000000
02365fe0-4e01-4e82-a9c8-ab97389f2217.wav,197492,197680,77574015.000000000
028a8e19-3e49-4fc0-a5df-5055bb98f1c7.wav,197500,197688,75875998.000000000
02d7e5f2-e647-462f-883d-a0cb1daa5503.wav,197312,197500,78013897.000000000
02fe1fea-4f23-4b10-ad93-903ebdf081d1.wav,197414,197602,80554009.000000000
030ac074-4f10-4260-b41c-253cf3bc88e0.wav,198070,198258,77513933.000000000
032a5ecb-f35c-4af5-964c-8f42cbcd9a41.wav,197518,197706,71841002.000000000
036b3893-f89c-4010-85b0-7e8089326d45.wav,197446,197634,68193912.000000000
03e83b0d-9940-4388-9310-bf11d90e474d.wav,197562,197750,67669868.000000000
03f3c8e1-df39-4f6e-906f-ba2c6b28e2b8.wav,197338,197526,60904026.000000000
04104401-4523-4f80-8976-056cd3ee661c.wav,197496,197684,62807084.000000000
04154ce4-b699-4a1d-a4fb-7068e07c00fa.wav,197618,197806,59929847.000000000
0458e9fc-6403-427e-afec-6a659104399a.wav,197462,197650,72160960.000000000
048c9205-bada-4bed-b466-30cca0ac5a59.wav,198664,198852,59834957.000000000
04d1c648-49c6-4b33-b290-3f829b9bf4f9.wav,197450,197638,61876059.000000000
051eee27-45b5-4bbe-812e-85e046ba043a.wav,197488,197676,59717894.000000000
055f3d08-6691-4eb8-8612-4140f654426f.wav,197458,197646,60461044.000000000
05fd1660-eee0-45cc-a924-9d58921190ff.wav,198058,198246,59566975.000000000
06469380-cf24-4288-80bd-f78b9499ef3f.wav,197522,197710,61300040.000000000
06bcf5af-fb5a-40a1-bf82-2499d8478c28.wav,197456,197644,59912920.000000000
06f283af-9867-4aa7-b97c-a60c6f795d17.wav,197452,197640,62346936.000000000
0765ff8f-98a1-4367-b846-3dd0a07a1176.wav,197438,197626,70230008.000000000
07c990a2-7775-428b-ad4b-3cf4a233d5f6.wav,197414,197602,62371969.000000000
0847e903-ffad-4196-86c3-298e0719e4fa.wav,197500,197688,62960863.000000000
08d069d4-366c-41aa-946b-eaa3eb8f9565.wav,197306,197494,60600996.000000000
08e1153c-1675-40f3-864d-5e93eb4c2134.wav,197512,197700,64161063.000000000
09b22add-5314-4416-8cca-b1744d8944b7.wav,197444,197632,59258938.000000000
0ab237b7-fb12-4687-afed-8d1e2070d621.wav,197526,197714,60364962.000000000
0aefe960-43fd-41cc-97c8-bf9d2d64efd3.wav,197476,197664,60624123.000000000
0b049a37-dc68-42f6-bbe5-d7d1cd699ccb.wav,197358,197546,77188015.000000000
0b4adf65-d666-4fa4-971f-6e7ed630d7fb.wav,197536,197724,72576046.000000000
0befa6a5-0c9b-44c6-93b8-eb6678045480.wav,197448,197636,68377972.000000000
0c3f4ca2-459d-4643-9b7b-a2c7ec378172.wav,197526,197714,61734914.000000000
0cc70045-605a-429f-90f3-a78b12f071a3.wav,197540,197728,69559097.000000000
0d08cc99-4ea4-4728-a3c3-6ba5631ee6f9.wav,197558,197746,73956013.000000000
0d4d9e06-e93c-4bb9-9ac0-517084f7ab18.wav,198006,198194,61446905.000000000
0d7c2b8b-8ae4-4288-9720-8402d737c1b5.wav,197500,197688,74754953.000000000
0e483848-ab61-4155-9a13-ed7668b2b956.wav,197540,197728,74670076.000000000
0e6689fb-4020-4972-8c33-d563b0ed4690.wav,197410,197598,76406002.000000000
0eab843a-5e03-469a-aafc-6d5d3af44714.wav,197576,197764,68643093.000000000
0ecaa518-44bb-472e-af0f-372321b2f05f.wav,197426,197614,70394993.000000000
0f5c8792-c7d4-4bb2-a750-89c9872abf50.wav,197514,197702,68403005.000000000
0fd63cb0-52db-4247-b9bb-eb511d0094d0.wav,197424,197612,87626934.000000000
0ff32e7e-47c6-44b4-821a-6ba3f5c6c00b.wav,197618,197806,85838080.000000000
102b47d9-371e-412a-8995-0dc6115ab2bb.wav,197442,197630,114450931.000000000
117d7c23-4a4f-40b9-83e4-b5cd26ba6e97.wav,197924,198112,89635849.000000000
11b6e1f9-70f4-41ec-9a22-d80b9d5894a2.wav,197518,197706,81897020.000000000
1243dd43-3312-4b5b-8bcb-d998c4da2241.wav,197408,197596,79111100.000000000
12445e49-2df0-4f57-80c0-10f2e2fef961.wav,197382,197570,68402052.000000000
14ec91ca-9d79-448e-a760-7ccbd2099820.wav,197574,197762,62242031.000000000
16ade36e-d993-4d65-8cfd-c5d94ceef5d3.wav,197500,197688,66193104.000000000
16c6d8eb-d79e-4f4e-954a-f2f1c4110264.wav,197596,197784,61573982.000000000
16fb787d-3d09-46fc-9560-ff82641112d2.wav,197408,197596,66843987.000000000
16fdea36-87b8-40a9-8d95-6ccf790837a1.wav,197462,197650,64524889.000000000
172741e6-a29e-45d4-81d0-e45d525fdeec.wav,197570,197758,63474894.000000000
174a80d5-dc29-4068-8108-39404d24a6fb.wav,197470,197658,69685936.000000000
178943a5-c3b3-48f6-9da6-c4b8047c6bf2.wav,197414,197602,65319061.000000000
17a7fd51-57f1-4948-988c-69ba8d4bf24b.wav,197482,197670,78155041.000000000
17dddbf0-b621-49e0-adaa-85cefd4a9478.wav,197498,197686,72014809.000000000
184d8ddc-e6ea-46df-abe6-193f03d94e5e.wav,198010,198198,59971810.000000000
18938028-59c1-401f-9aca-ae836d963335.wav,197444,197632,62826156.000000000
189fd9b7-d128-4d50-8448-e7d9a019c4f2.wav,197374,197562,60061932.000000000
18bd387e-7dbb-45e1-98f7-a0fa5b980d61.wav,197542,197730,60213088.000000000
199d55be-23a8-4230-90ef-36673a23a3bf.wav,197438,197626,63955069.000000000
1a971a8c-cb8d-48ef-aad2-f7258947726c.wav,198082,198270,60914040.000000000
1b517404-93f9-409f-9dca-18ff2e6d9885.wav,197562,197750,67138910.000000000
1b7285f1-2768-4979-93c1-045bb6236611.wav,197290,197478,59876204.000000000
1c276f5f-44f9-4ef4-843c-972e4c0c1ee3.wav,198056,198244,69246054.000000000
1c286f7b-612f-4883-934a-186859617a04.wav,197468,197656,62119007.000000000
1c37fd0e-1c6b-4d84-9108-1adbf8ae3f91.wav,197398,197586,60405015.000000000
1c6bf8b8-7bef-439d-ab17-cd338288e977.wav,197450,197638,60181141.000000000
